THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Sex,You Ain’t Woman Enough,Loretta Lynn,1966,http://open.spotify.com/track/0HIDHxooesFQ1zAZ3Vahgm
Sex,"Don’t Come the Cowboy With Me, Sonny Jim!",Kirsty MacColl,1989,http://open.spotify.com/track/2K0gFbHUwMJqXNfm7fJnRg
Sex,Justify My Love,Madonna,1990,http://open.spotify.com/track/5pIYRfMMlLw7NXg1ey8bRA
Sex,Electric Feel,MGMT,2008,http://open.spotify.com/track/2eGHyarZyRvUgFI4d3G8GN
Sex,I Want Your Sex,George Michael,1987,http://open.spotify.com/track/4g4UjSFx9QCTt2mqJwr4fW
Sex,Fastlove,George Michael,1996,http://open.spotify.com/track/5y0RtJTOSuy864erUivf0J
Sex,One Minute Man,Missy Elliott,2001,http://open.spotify.com/track/4SZG38k0cKCMrmpu2mPpD2
Sex,Work It,Missy Elliott,2002,http://open.spotify.com/track/5p3WoFtEm7HrRp8lKxKICu
Sex,A Case of You,Joni Mitchell,1971,http://open.spotify.com/track/42kn5anz7d6ykieCG0yIbH
Sex,Heads High,Mr Vegas,1998,http://open.spotify.com/track/4LCmlA4r2kaQ5d5Hld8y26
Sex,OPP,Naughty by Nature,1991,http://open.spotify.com/track/70zkTsvURu74HmCrEja7e4
Sex,If That’s Your Boyfriend (He Wasn’t Last Night),Me’Shell Ndegeocello,1993,http://open.spotify.com/track/1VUtTNkTTkFnlHZnkS8gEf
Sex,You Can Leave Your Hat On,Randy Newman,1972,http://open.spotify.com/track/6g15icndZ6ig2CtKcayHHx
Sex,Bizarre Love Triangle,New Order,1986,http://open.spotify.com/track/3IZYwVzsjbyw4QxbDmR3Sf
Sex,Closer,Nine Inch Nails,1994,http://open.spotify.com/track/5mHiMTaFI51iB533K7qjzG
Sex,Warm Leatherette,The Normal,1978,http://open.spotify.com/track/6LNFfNZ5HL9lDQpB52eGOh
Sex,I Want My Cock,Owen and Leon,1965,
Sex,"I’m Gonna Love You Just a Little More, Baby",Kellee Patterson,1976,
Sex,Me and Mrs Jones,Billy Paul,1972,http://open.spotify.com/track/5GYcaVfaFBHe2gzA6Oybgj
Sex,Fuck the Pain Away,Peaches,2000,http://open.spotify.com/track/1XHFob24QklIXtLRopKirJ
Sex,Gigantic,Pixies,1988,http://open.spotify.com/track/2WajMsuB3N7cv5SF12NJeX
Sex,Roxanne,The Police,1978,http://open.spotify.com/track/4pe9XMdCpgblon0CrB9jtm
Sex,If I Was Your Girlfriend,Prince,1987,http://open.spotify.com/track/6K3bHdKpYnFsWf0TpoEm1E
Sex,Little Red Corvette,Prince,1983,http://open.spotify.com/track/5sjTUwMJeAzGSCmpYJzgd4
Sex,Darling Nikki,Prince and the Revolution,1984,http://open.spotify.com/track/7bBT7pJXCyH5i7Y3AaiUNW
Sex,Kiss,Prince and the Revolution,1986,http://open.spotify.com/track/1XoOSVy4rHDyd6u8XbZ0s5
Sex,Baby Wants to Ride,Jamie Principle,1987,
Sex,Babies,Pulp,1992,http://open.spotify.com/track/2g958u66qASAxbzoO5Vva3
Sex,Do You Remember the First Time?,Pulp,1994,http://open.spotify.com/track/3rhITD3Q7qlOMCebBTHL8N
Sex,Sheffield: Sex City,Pulp,1992,http://open.spotify.com/track/75DYVxFFKJ9sHiGlVB3vT9
